[2024-12-07 03:08:52] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-07 03:25:01] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-11 22:15:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:16:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:17:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:18:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:19:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:20:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:21:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:22:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:23:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:24:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:25:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:26:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:27:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:28:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:29:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:30:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:31:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:32:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:33:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:34:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:35:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:36:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:37:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:38:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:39:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:40:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:41:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:42:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:43:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:44:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:45:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:46:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:47:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:48:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:49:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:50:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:51:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:52:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:53:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:54:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:55:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:56:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:57:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:58:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 22:59:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 23:00:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 23:01:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 23:02:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 23:03:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 23:04:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 23:05:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 23:06:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 23:07:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-11 23:08:45] Utilizadores online: 0 | Mensagens enviadas: 0
[2024-12-12 19:08:42] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-12 19:09:42] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-12 19:10:42] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-12 19:11:42] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-12 19:12:42] Utilizadores online: 2 | Mensagens enviadas: 3
[2024-12-12 19:13:42] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-12 21:34:22] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-12 21:35:22] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-12 21:36:22] Utilizadores online: 1 | Mensagens enviadas: 1
[2024-12-12 21:37:22] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-12 21:38:22] Utilizadores online: 1 | Mensagens enviadas: 0
[2024-12-12 21:43:06] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-12 21:44:06] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-12 21:45:06] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-12 21:46:06] Utilizadores online: 2 | Mensagens enviadas: 0
[2024-12-12 21:47:06] Utilizadores online: 2 | Mensagens enviadas: 0
